藏,子分类,书名,档位,页数,题材,朝代
佛藏,乾隆藏,佛说海龙王经,故事性,5,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说满愿子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说灯指因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说犊子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说生经,故事性,7,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说申日儿本经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说白衣金幢二婆罗门缘起经,故事性,1,佛教故事,宋
佛藏,乾隆藏,佛说盂兰盆经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说睒子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说瞿昙弥记果经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说福力太子因缘经,故事性,2,佛教故事,宋
佛藏,乾隆藏,佛说离垢施女经,故事性,4,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说箭喻经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说给孤长者女得度因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说罗云忍辱经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说群牛譬经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说老女人经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说老母女六英经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说老母经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说腹中女听经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说舍利弗摩诃目连游四衢经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说菩萨逝经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说萨罗国经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说譬喻经,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,佛说谏王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说贫穷老公经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说赖吒和罗所问德光太子经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说赖吒和罗经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说越难经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说辩意长者子所问经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说逝童子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说释摩男本经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说金耀童子经,故事性,1,佛教故事,宋
佛藏,乾隆藏,佛说金色王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说铁城泥犁经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说银色女经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说长寿王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说长者子六过出家经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说长者子制经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说长者施报经,故事性,1,佛教故事,宋
佛藏,乾隆藏,佛说长者法志妻经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说长者音悦经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说阎罗王五天使者经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说阿阇世王受决经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说阿阇世王女阿术达菩萨经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说阿阇世王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说阿难七梦经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说顶生王因缘经,故事性,2,佛教故事,宋
佛藏,乾隆藏,佛说顶生王故事经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说须赖经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说须达经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说频婆娑罗王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说鬼子母经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说魔娆乱经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说鸯崛髻经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说鸯掘摩经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说鹦鹉经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说鹿母经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说龙施女经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说龙施菩萨本起经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,佛说龙王兄弟经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,修行本起经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,僧伽斯那所撰菩萨本缘经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,僧伽罗刹所集佛行经,故事性,8,佛教故事,魏晋南北朝
佛藏,乾隆藏,六度集经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,千佛因缘经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,南海寄归内法传,故事性,2,佛教故事,隋唐
佛藏,乾隆藏,卢至长者因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,善思童子经,故事性,7,佛教故事,隋唐
佛藏,乾隆藏,嗟袜曩法天子受三归获免恶道经,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,大唐西域求法高僧传,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,大唐西域记,故事性,8,佛教故事,隋唐
佛藏,乾隆藏,大慈恩寺三藏法师传,故事性,2,佛教故事,隋唐
佛藏,乾隆藏,大集譬喻王经,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,天王太子辟罗经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,太子刷护经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,太子和休经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,太子慕魄经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,太子瑞应本起经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,太子须大拏经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,央掘魔罗经,故事性,16,佛教故事,魏晋南北朝
佛藏,乾隆藏,婆薮槃豆传,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,孝子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,宋高僧传,故事性,13,佛教故事,宋
佛藏,乾隆藏,师子素驮娑王断肉经,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,幻士仁贤经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,异出菩萨本起经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,提婆菩萨传,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,摩登伽经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,摩登女解形中六事经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,摩邓女经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,撰集百缘经,故事性,4,佛教故事,魏晋南北朝
佛藏,乾隆藏,方广大庄严经,故事性,27,佛教故事,隋唐
佛藏,乾隆藏,旧杂譬喻经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,明高僧传,故事性,3,佛教故事,明
佛藏,乾隆藏,普曜经,故事性,18,佛教故事,魏晋南北朝
佛藏,乾隆藏,月上女经,故事性,4,佛教故事,魏晋南北朝
佛藏,乾隆藏,未曾有因缘经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,未生怨经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,杂宝藏经,故事性,7,佛教故事,魏晋南北朝
佛藏,乾隆藏,杂譬喻经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,杂譬喻经--,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,比丘尼传,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,法句譬喻经,故事性,8,佛教故事,魏晋南北朝
佛藏,乾隆藏,法显传,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,犍陀国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,玉耶女经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,玉耶经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,琉璃王经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,百喻经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,神僧传,故事性,5,佛教故事,明
佛藏,乾隆藏,经律异相,故事性,28,佛教故事,魏晋南北朝
佛藏,乾隆藏,续高僧传,故事性,12,佛教故事,隋唐
佛藏,乾隆藏,胜军化世百喻伽他经,故事性,3,佛教故事,宋
佛藏,乾隆藏,舍卫国王梦见十事经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,舍头谏经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,菩萨投身饲饿虎起塔因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,菩萨本生鬘论,故事性,2,佛教故事,宋
佛藏,乾隆藏,菩萨本行经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,菩萨睒子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,蓱沙王五愿经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,贤愚因缘经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,过去现在因果经,故事性,3,佛教故事,魏晋南北朝
佛藏,乾隆藏,那先比丘经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,释迦谱,故事性,10,佛教故事,魏晋南北朝
佛藏,乾隆藏,长者懊恼三处经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,阿育王传,故事性,4,佛教故事,魏晋南北朝
佛藏,乾隆藏,阿育王子法益坏目因缘经,故事性,10,佛教故事,魏晋南北朝
佛藏,乾隆藏,阿育王经,故事性,11,佛教故事,魏晋南北朝
佛藏,乾隆藏,阿育王譬喻经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,阿那邠邸化七子经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,阿鸠留经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,隋天台智者大师别传终,故事性,1,佛教故事,隋唐
佛藏,乾隆藏,集神州三宝感通录,故事性,3,佛教故事,隋唐
佛藏,乾隆藏,须摩提女经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,须摩提长者经,故事性,2,佛教故事,魏晋南北朝
佛藏,乾隆藏,频毗娑罗王诣佛供养经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,马鸣菩萨传,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,高僧传,故事性,8,佛教故事,魏晋南北朝
佛藏,乾隆藏,黑氏梵志经,故事性,1,佛教故事,魏晋南北朝
佛藏,乾隆藏,龙树菩萨传,故事性,1,佛教故事,魏晋南北朝
佛藏,嘉兴藏,古音王传,故事性,2,佛教故事,明
佛藏,嘉兴藏,大慧普觉禅师年谱,故事性,4,佛教故事,宋
佛藏,嘉兴藏,天乐鸣空集,艺术文学,5,诗,明
佛藏,嘉兴藏,天台三圣诗集和韵,艺术文学,22,诗,明
佛藏,嘉兴藏,天然居士怀净土诗,艺术文学,5,诗,明
佛藏,嘉兴藏,寒山子诗集,艺术文学,8,诗,隋唐
佛藏,嘉兴藏,拟寒山诗,艺术文学,6,诗,宋
佛藏,嘉兴藏,石门文字禅,艺术文学,84,诗,宋
佛藏,大藏经,一切如来说佛顶轮王一百八名赞,艺术文学,1,诗,隋唐
佛藏,大藏经,一切智光明仙人慈心因缘不食肉经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,一百五十赞佛颂,艺术文学,4,诗,隋唐
佛藏,大藏经,七佛父母姓字经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,七佛赞呗伽他,艺术文学,1,诗,隋唐
佛藏,大藏经,七女观经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,三国遗事,故事性,13,历史纪事,元
佛藏,大藏经,三宝感应要略录,故事性,9,佛教故事,宋
佛藏,大藏经,三身梵赞,艺术文学,1,诗,隋唐
佛藏,大藏经,中本起经,故事性,3,佛教故事,魏晋南北朝
佛藏,大藏经,五母子经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,五母子经之二,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,五阴譬喻经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,付法藏因缘传,故事性,3,佛教故事,魏晋南北朝
佛藏,大藏经,众经撰杂譬喻,故事性,2,佛教故事,魏晋南北朝
佛藏,大藏经,传法宝纪,故事性,1,佛教故事,隋唐
佛藏,大藏经,传法正宗记,故事性,10,佛教故事,宋
佛藏,大藏经,佛一百八名赞,艺术文学,1,诗,隋唐
佛藏,大藏经,佛三身赞,艺术文学,1,诗,隋唐
佛藏,大藏经,佛五百弟子自说本起经,故事性,12,佛教故事,魏晋南北朝
佛藏,大藏经,佛吉祥德赞,艺术文学,7,诗,宋
佛藏,大藏经,佛所行赞,故事性,48,佛教故事,魏晋南北朝
佛藏,大藏经,佛本行经,故事性,54,佛教故事,魏晋南北朝
佛藏,大藏经,佛本行集经,故事性,70,佛教故事,隋唐
佛藏,大藏经,佛祖历代通载,故事性,26,佛教故事,元
佛藏,大藏经,佛祖统纪,故事性,74,佛教故事,宋
佛藏,大藏经,佛说七女经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说九色鹿经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说九鹿经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说五无反复经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说五无反复经之二,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说五无返复经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说五王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说众许摩诃帝经,故事性,7,佛教故事,宋
佛藏,大藏经,佛说光明童子因缘经,故事性,2,佛教故事,宋
佛藏,大藏经,佛说兴起行经,故事性,3,佛教故事,魏晋南北朝
佛藏,大藏经,佛说净饭王般涅槃经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说力士移山经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说千佛因缘经,故事性,3,佛教故事,魏晋南北朝
佛藏,大藏经,佛说因缘僧护经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说大坚固婆罗门缘起经,故事性,2,佛教故事,宋
佛藏,大藏经,佛说大意经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说大爱道般泥洹经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说大自在天子因地经,故事性,1,佛教故事,宋
佛藏,大藏经,佛说大迦叶本经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说大鱼事经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说天王太子辟罗经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说太子刷护经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说太子和休经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说太子墓魄经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说太子慕魄经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说太子瑞应本起经,故事性,2,佛教故事,魏晋南北朝
佛藏,大藏经,佛说奈女祇域因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说妇人遇辜经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说妙色王因缘经,故事性,1,佛教故事,隋唐
佛藏,大藏经,佛说婆罗门子命终爱念不离经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说婆罗门避死经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说孝子经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说师子月佛本生经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说师子素驮娑王断肉经,故事性,1,佛教故事,隋唐
佛藏,大藏经,佛说幻士仁贤经,故事性,3,佛教故事,魏晋南北朝
佛藏,大藏经,佛说弥勒下生成佛经,故事性,1,佛教故事,隋唐
佛藏,大藏经,佛说弥勒下生成佛经-唐-义净,故事性,3,佛教故事,隋唐
佛藏,大藏经,佛说弥勒下生经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说弥勒大成佛经,故事性,2,佛教故事,魏晋南北朝
佛藏,大藏经,佛说弥勒来时经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说德光太子经,故事性,4,佛教故事,魏晋南北朝
佛藏,大藏经,佛说德护长者经,故事性,4,佛教故事,隋唐
佛藏,大藏经,佛说息诤因缘经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说懈怠耕者经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说报恩奉盆经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说摩登女解形中六事经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说摩诃迦叶度贫母经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说摩达国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说摩邓女经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说文陀竭王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说旃陀越国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说无垢贤女经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说普曜经,故事性,20,佛教故事,魏晋南北朝
佛藏,大藏经,佛说月上女经,故事性,4,佛教故事,隋唐
佛藏,大藏经,佛说月光童子经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说未曾有因缘经,故事性,2,佛教故事,魏晋南北朝
佛藏,大藏经,佛说未生冤经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说末罗王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说柰女耆婆经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说树提伽经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说树提伽经之二,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说梵志女首意经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说梵摩难国王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说沙曷比丘功德经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说波斯匿王太后崩尘土坌身经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说满愿子经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说玉耶女经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说玉耶女经之二,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说琉璃王经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说申日经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说白衣金幢二婆罗门缘经,故事性,1,佛教故事,宋
佛藏,大藏经,佛说盂兰盆经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说睒子经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说睒子经之三,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说睒子经之二,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说瞿昙弥记果经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说福力太子因缘经,故事性,2,佛教故事,宋
佛藏,大藏经,佛说离垢施女经,故事性,5,佛教故事,魏晋南北朝
佛藏,大藏经,佛说箭喻经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说给孤长者女得度因缘经,故事性,2,佛教故事,宋
佛藏,大藏经,佛说维摩诘经,故事性,3,佛教故事,魏晋南北朝
佛藏,大藏经,佛说群牛譬经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说老女人经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说老母女六英经,故事性,1,佛教故事,魏晋南北朝
佛藏,大藏经,佛说老母经,故事性,1,佛教故事,魏晋南北朝
